num_convex_hull_points,num_convexity_defects,bounding_box_width,bounding_box_height,aspect_ratio,contour_area,contour_perimeter,label
22,17,291,343,0.848397,33656,1729.64,gesture_name
23,18,289,343,0.842566,33631.5,1711.74,gesture_name
22,16,294,341,0.86217,34144.5,1575.66,gesture_name
20,14,297,339,0.876106,33897.5,1573.94,gesture_name
20,14,287,336,0.854167,33163.5,1661.26,gesture_name
21,16,256,284,0.901408,27753,1109.34,gesture_name
26,21,249,268,0.929104,25876,957.661,gesture_name
26,21,247,264,0.935606,25292.5,923.762,gesture_name
21,15,265,259,1.02317,25563.5,990.046,gesture_name
19,15,261,259,1.00772,25400,970.004,gesture_name
19,13,259,259,1,25322,961.176,gesture_name
20,13,259,260,0.996154,25305,956.489,gesture_name
21,16,263,261,1.00766,25438.5,935.904,gesture_name
17,13,273,264,1.03409,26531,1006.92,gesture_name
19,14,271,284,0.954225,27580,1241.17,gesture_name
18,13,305,306,0.996732,31133,1666.75,gesture_name
21,15,307,322,0.953416,32412,1795.12,gesture_name
21,15,307,324,0.947531,32648.5,1797.16,gesture_name
19,12,313,319,0.981191,32799,1776.23,gesture_name
19,15,318,312,1.01923,32308.5,1749.65,gesture_name
19,13,322,308,1.04545,32117,1739.61,gesture_name
18,11,324,309,1.04854,31787.5,1722.8,gesture_name
18,12,326,309,1.05502,31578,1700.13,gesture_name
18,12,325,308,1.05519,31405.5,1688.85,gesture_name
16,10,325,307,1.05863,31078,1691.72,gesture_name
18,11,325,308,1.05519,31068,1690.55,gesture_name
20,13,322,310,1.03871,31408.5,1719.22,gesture_name
19,12,304,282,1.07801,28812,1455.47,gesture_name
18,13,303,267,1.13483,26367.5,1293.49,gesture_name
26,21,263,262,1.00382,24117.5,958.472,gesture_name
21,16,274,256,1.07031,23842,962.916,gesture_name
